bls_geo_id,zillow_geo_id,census_geo_name
S35C,394347,310M600US12060
S35E,394358,310M600US12580
S11A,394404,310M600US14460
A105,394425,310M600US15380
S23A,394463,310M600US16980
A213,394466,310M600US17140
A210,394475,310M600US17420
S37A,394514,310M600US19100
S48B,394530,310M600US19740
S23B,394532,310M600US19820
S37B,394692,310M600US26420
A214,394735,310M600US28140
S49A,753899,310M600US31080
S35B,394856,310M600US33100
A212,394862,310M600US33340
S24A,394865,310M600US33460
S12A,394913,310M600US35620
S12B,394974,310M600US37980
S48A,394976,310M600US38060
A104,394982,310M600US38300
A425,394998,310M600US38900
S49C,395025,310M600US40140
S49E,395056,310M600US41740
S49B,395057,310M600US41860
S49D,395078,310M600US42660
S24B,395121,310M600US41180
S35D,395148,310M600US45300
S49F,753924,310M600US46520
S35A,395209,310M600US47900
