bls_geo_id,bls_geo_name,zillow_geo_id,census_geo_name
S35C,"Atlanta-Sandy Springs-Roswell, GA",394347,310M600US12060
S35E,"Baltimore-Columbia-Towson, MD",394358,310M600US12580
S11A,"Boston-Cambridge-Newton, MA-NH",394404,310M600US14460
A105,"Buffalo-Niagara Falls, NY",394425,310M600US15380
S23A,"Chicago-Naperville-Elgin, IL-IN-WI",394463,310M600US16980
A213,"Cincinnati-Hamilton, OH-KY-IN",394466,310M600US17140
A210,"Cleveland-Akron, OH",394475,310M600US17420
S37A,"Dallas-Fort Worth-Arlington, TX",394514,310M600US19100
S48B,"Denver-Aurora-Lakewood, CO",394530,310M600US19740
S23B,"Detroit-Warren-Dearborn, MI",394532,310M600US19820
S37B,"Houston-The Woodlands-Sugar Land, TX",394692,310M600US26420
A214,"Kansas City, MO-KS",394735,310M600US28140
S49A,"Los Angeles-Long Beach-Anaheim, CA",753899,310M600US31080
S35B,"Miami-Fort Lauderdale-West Palm Beach, FL",394856,310M600US33100
A212,"Milwaukee-Racine, WI",394862,310M600US33340
S24A,"Minneapolis-St.Paul-Bloomington, MN-WI",394865,310M600US33460
S12A,"New York-Newark-Jersey City, NY-NJ-PA",394913,310M600US35620
S12B,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",394974,310M600US37980
S48A,"Phoenix-Mesa-Scottsdale, AZ",394976,310M600US38060
A104,"Pittsburgh, PA",394982,310M600US38300
A425,"Portland-Salem, OR-WA",394998,310M600US38900
S49C,"Riverside-San Bernardino-Ontario, CA",395025,310M600US40140
S49E,"San Diego-Carlsbad, CA",395056,310M600US41740
S49B,"San Francisco-Oakland-Hayward, CA",395057,310M600US41860
S49D,Seattle-Tacoma-Bellevue WA,395078,310M600US42660
S24B,"St. Louis, MO-IL",395121,310M600US41180
S35D,"Tampa-St. Petersburg-Clearwater, FL",395148,310M600US45300
S49F,Urban Hawaii,753924,310M600US46520
S35A,"Washington-Arlington-Alexandria, DC-VA-MD-WV",395209,310M600US47900
